objid,source_id,ra,dec,pmra,pmdec,ref_epoch,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,parallax,parallax_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_g_mean_ABmag,phot_bp_mean_ABmag,phot_rp_mean_ABmag,phot_g_mean_ABmag_err,phot_bp_mean_ABmag_err,phot_rp_mean_ABmag_err,AbsMagG,AbsMagG_err,BpRp,BpRp_err,SDSS_u,SDSS_u_err,SDSS_g,SDSS_g_err,SDSS_r,SDSS_r_err,SDSS_i,SDSS_i_err,SDSS_z,SDSS_z_err,SMSS_u,SMSS_u_err,SMSS_v,SMSS_v_err,SMSS_g,SMSS_g_err,SMSS_r,SMSS_r_err,SMSS_i,SMSS_i_err,SMSS_z,SMSS_z_err,PS1_g,PS1_g_err,PS1_r,PS1_r_err,PS1_i,PS1_i_err,PS1_z,PS1_z_err,PS1_y,PS1_y_err,DES_g,DES_g_err,DES_r,DES_r_err,DES_i,DES_i_err,DES_z,DES_z_err,DES_y,DES_y_err,2MASS_j,2MASS_j_err,2MASS_h,2MASS_h_err,2MASS_k,2MASS_k_err,GALEX_fuv_mag,GALEX_fuv_mag_err,GALEX_nuv_mag,GALEX_nuv_mag_err,WISE_W1,WISE_W1_err,WISE_W2,WISE_W2_err,TESS_T,TESS_T_err,mask
8,2767667274751730048,4.018977057129835,13.41668229508561,303.44867753776674,-36.836521659933595,2016.0,16.96071,17.063173,16.789148,16.347451153988693,0.08776264,3095.0161394189795,2.5552926,2042.4313067684986,9.138797,1525.80435733744,10.111548,17.07437914925562,17.078597734932224,17.14523592646155,0.0028943615552847984,0.005380876423850111,0.007369104749002012,13.141571891503057,0.012049085444212609,-0.06663819152932328,0.009128487835991633,17.31623,0.02271458,17.07529,0.02467147,17.02469,0.01071426,17.10636,0.01717132,17.16773,0.02227974,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0307,0.0059,17.006217647058826,0.01012941176470685,17.106,0.0049,17.2318,0.0054,17.314577420025756,0.0097,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.626,0.125,17.89,0.231,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.332562930319284,0.036285101695070716,19.90470933624932,0.13619104679628838,16.862,0.006,0.0
23,2344901720977366528,15.913770367280597,-24.74956119947146,-46.01418720930767,-95.82531938975706,2016.0,16.696207,16.727282,16.630838,12.839916473859917,0.06662742,3948.787359810336,2.8169165,2782.9426019141456,14.834983,1765.318327504751,11.979625,16.809877733026664,16.742731766645182,16.986940110580548,0.0028556908643526855,0.0062300509927663604,0.007533295077184264,12.352678740939872,0.011613751521815818,-0.24420834393536467,0.009787663025538516,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.8283,0.0216,16.7804,0.0201,16.7042,0.0044,16.7941,0.0039,17.0023,0.015,17.1679,0.0111,16.7031,0.0005,16.8007,0.0034,16.959,0.0033,17.1123,0.0041,17.2009,0.0112,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.927,0.169,17.5847,0.0383,19.557005531051146,0.044174941075471166,-1.0,-1.0,16.713,0.006,0.0
32,5037084872486444928,21.353109751656604,-26.01467836756078,235.87006780372127,-524.4372546001046,2016.0,14.960075,15.120025,14.662146,60.35779337436104,0.025622379,19539.64037613835,7.741458,12229.448284894319,17.812288,10821.807589708586,9.894426,15.073743521445465,15.13543746542203,15.018239157395936,0.0027831327624660953,0.0027954419052588194,0.0018736759184775416,13.977411368671744,0.0029338768655561647,0.11719830802608956,0.0033598014349205067,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.6176,0.0104,15.4617,0.011,15.0895,0.0042,14.9824,0.0043,14.9983,0.0054,15.0699,0.0071,15.12636410773177,0.0047,14.996212307692309,0.007021538461538166,14.993276847354615,0.00249965277312271,15.061572262773721,0.0023,15.139214487369985,0.0040902674591378,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.345,0.029,15.703000000000001,0.044,16.181,0.072,-1.0,-1.0,17.5089,0.0188,17.134849743212925,0.006550762586244016,17.632789185990017,0.017444919018651337,14.739,0.006,0.0
35,2451840221895091584,23.74448444369571,-15.601894708954651,146.88112320295443,104.2527700529138,2016.0,16.976221,17.01248,16.917906,11.880903343714024,0.07806554,3051.1115750036734,2.5311053,2140.056859571808,13.011462,1355.1764014680966,7.2821193,17.089892625313542,17.027909220137794,17.274034562183857,0.0028982247854906526,0.00699735900325139,0.006050227632904056,12.464178265466664,0.014603211931417417,-0.2461253420460664,0.009247866089192189,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0803,0.0226,17.1091,0.0205,16.9673,0.0153,17.0797,0.014,17.2707,0.0072,17.4388,0.011,16.9997,0.0037,17.0731,0.0056,17.253,0.0034,17.4138,0.0064,17.523,0.0073,16.975561,0.0007286178,17.115604,0.00067415583,17.293581,0.00077547855,17.469688,0.0011714606,17.606163,0.0029331376,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.83725212020235,0.05970400854366807,-1.0,-1.0,17.003,0.006,0.0
42,4686800224727589248,27.65697882502686,-72.12229771290937,-229.35758953574202,-232.9983541024403,2016.0,16.232738,16.427723,15.897209,31.529255729514464,0.035032243,6051.34083280147,3.1697445,3667.1419703115585,14.713131,3469.560276989501,10.154932,16.34641037430609,16.44317087895364,16.253304139225484,0.0028065550026518476,0.004947170074672164,0.0035504342565542244,13.839979131462883,0.0036961372270277104,0.18986673972815737,0.006084926406678502,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.1122,0.0227,16.8234,0.022,16.4044,0.0099,16.2584,0.0133,16.2318,0.0065,16.2848,0.0084,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.563,0.051,17.034,0.124,17.274,0.179,-1.0,-1.0,-1.0,-1.0,18.16264996693507,0.010638067148015884,18.853738009000775,0.03543256224011132,15.969,0.006,0.0
46,78629306318257536,29.913679291847156,15.813185115613738,-75.66425193587371,-10.10694040836822,2016.0,15.759198,15.818765,15.643208,26.147366577767595,0.046650495,9359.819958090986,6.006161,6425.559470945872,15.221047,4384.045861611591,11.911808,15.87286830210299,15.834189693916397,15.99929413595539,0.0028395160320292944,0.003450485690710296,0.0033494958189732187,12.959988770495771,0.004797682300965751,-0.1651044420389986,0.004818368068232295,15.9486,0.01883255,15.77694,0.01627842,15.83974,0.01449695,15.95685,0.01546395,16.11437,0.01378763,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.8462,0.043,15.984,0.0111,16.1284,0.0639,15.78,0.0058,15.8467,0.0029,15.9744,0.0046,16.1142,0.0037,16.2127,0.004,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.651,0.076,16.826999999999998,0.11,-1.0,-1.0,20.9573,0.1457,16.969,0.0127,18.37683466340432,0.017165645905280906,19.034085082716963,0.06357700021041696,15.725,0.007,0.0
48,2490494240363793792,30.94495223003929,-7.027178786814818,33.228598654894206,-59.578359689528206,2016.0,17.343449,17.454378,17.123856,15.921209049008418,0.102112174,2175.5409957962725,2.1209738,1424.5103630300791,9.8681135,1121.0260124565282,10.570254,17.4571204405725,17.469792293034814,17.48002067274712,0.002948616801498364,0.007833282209279287,0.010377737260825125,13.466889278698586,0.014214736567081611,-0.010228379712306692,0.012994988910595914,17.8023,0.01695737,17.48808,0.03236064,17.38213,0.01342133,17.44951,0.01423322,17.56904,0.02206897,17.8109,0.0344,17.6954,0.0323,17.423,0.0099,17.3702,0.0164,17.4584,0.0094,17.5458,0.0172,17.4564,0.0117,17.3896,0.0042,17.4681,0.0044,17.5491,0.0099,17.6132,0.0103,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21.9376,0.3685,19.0352,0.0589,19.640043538264685,0.04675034289889223,-1.0,-1.0,17.197,0.006,0.0
51,4964236282912470400,33.1831096445097,-39.264586404000674,11.618704626414704,18.521912347660447,2016.0,16.53218,16.605753,16.366467,18.448478546542788,0.045874253,4592.764762648453,2.8496902,3112.54337540844,8.292769,2252.0151196992074,8.662444,16.645851531073863,16.62117736623077,16.72256640265183,0.0028341213207392145,0.0037006709576788226,0.004458024659987274,12.975636806249607,0.006097992481038924,-0.10138903642104925,0.005789104367788009,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.8486,0.0188,16.764,0.0182,16.562,0.0096,16.5762,0.0104,16.7054,0.0141,16.8617,0.0124,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.580647,0.0005602287,16.622263,0.0005746992,16.735003,0.00063136296,16.876444,0.0009309704,17.000587,0.002060818,17.2,0.104,17.639,0.168,-1.0,-1.0,20.1417,0.1179,17.9323,0.0274,18.816741239803427,0.02078606653918538,19.484925742639742,0.07838188612625378,16.45,0.006,0.0
62,5079722249785158144,45.440736734371484,-20.744431486166338,80.77759193998692,11.264573130295432,2016.0,17.495901,17.635092,17.244555,15.452614628765069,0.08254868,1890.543175064309,1.6517001,1206.0921300480784,8.439274,1003.0824710258406,9.077626,17.609572539388036,17.65055446455129,17.600715471178606,0.0029128922333520103,0.00793190675779714,0.00994299794325223,13.554547562208013,0.011964375677868865,0.049838993372685755,0.012740366510079072,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.1703,0.0853,18.0571,0.0426,17.6071,0.0086,17.5282,0.0074,17.597,0.0118,17.6938,0.0151,17.6317,0.0013,17.5279,0.0073,17.5748,0.0029,17.6489,0.0022,17.7204,0.0083,17.642857,0.0008037363,17.546293,0.00078438,17.592188,0.0009702103,17.68684,0.001637694,17.778118,0.0039934856,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.9394,0.1216,19.59035269165183,0.042507881718216824,20.38896021925315,0.19253202579109224,17.341,0.007,0.0
77,3193194629937678464,59.775664592909386,-11.310272683777674,119.27636696817615,-115.92701534212296,2016.0,17.42854,17.611996,17.13305,17.953537914750775,0.08274013,2011.550678091389,1.6066374,1232.0229634541854,7.2260666,1111.5721048198404,5.8891873,17.54220437937545,17.627410752464662,17.489169903588575,0.0028835499474804413,0.006765176016449442,0.0059412768510889065,13.81291305910407,0.010442301188520183,0.13824084887608779,0.009009629259468575,18.13638,0.02496949,17.63478,0.02438482,17.44889,0.01717726,17.41393,0.02079645,17.46798,0.01862624,18.1638,0.0462,18.0302,0.0546,17.5772,0.0103,17.4363,0.0181,17.4574,0.0139,17.5438,0.0185,17.6158,0.0063,17.4501,0.0028,17.4407,0.0027,17.4741,0.0185,17.5582,0.0088,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.575,0.13,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.3586,0.1827,19.282095827159587,0.034622334410291396,19.422120500124425,0.08071245253534157,17.188,0.006,0.0
